"original_path","archived_path","category","reason","replacement","last_pre_archive_commit","archived_utc"
"scratch/functions.stan","archive/code/scratch/functions.stan","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/info-test.R","archive/code/scratch/info-test.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/investigate-optim.R","archive/code/scratch/investigate-optim.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/investigate-results.R","archive/code/scratch/investigate-results.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/log-mu-rep-plots.R","archive/code/scratch/log-mu-rep-plots.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/mu-rep-by-cluster.R","archive/code/scratch/mu-rep-by-cluster.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/mu-structural.R","archive/code/scratch/mu-structural.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/mu-z-d-exploration.R","archive/code/scratch/mu-z-d-exploration.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/old-knowledge-reduced-form-code.R","archive/code/scratch/old-knowledge-reduced-form-code.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/ols-ss-uni.stan","archive/code/scratch/ols-ss-uni.stan","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/optimal-incentives.R","archive/code/scratch/optimal-incentives.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/paper-final-attrition-tables-preview.tex","archive/code/scratch/paper-final-attrition-tables-preview.tex","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/paper-knowledge-table-attrition-preview.tex","archive/code/scratch/paper-knowledge-table-attrition-preview.tex","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/paper-selection-missingness-note.tex","archive/code/scratch/paper-selection-missingness-note.tex","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/pds-fit.do","archive/code/scratch/pds-fit.do","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/quick-dirty-pred-demand.R","archive/code/scratch/quick-dirty-pred-demand.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/quick-vstar.jl","archive/code/scratch/quick-vstar.jl","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/randomization-checks.R","archive/code/scratch/randomization-checks.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/recreate-treatment-assignment.R","archive/code/scratch/recreate-treatment-assignment.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/reduced-form-het-effects.R","archive/code/scratch/reduced-form-het-effects.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/reduced-form-pea-robustness.R","archive/code/scratch/reduced-form-pea-robustness.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/reduced-form-postprocess.R","archive/code/scratch/reduced-form-postprocess.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","scripts/structural/ and scripts/structural/render-paper.R","9f05899","2026-08-20"
"scratch/reduced-form-redux.R","archive/code/scratch/reduced-form-redux.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/reduced-form.Rmd","archive/code/scratch/reduced-form.Rmd","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/reduced-form.tex","archive/code/scratch/reduced-form.tex","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/rf-robustness.R","archive/code/scratch/rf-robustness.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/sample-sizes.R","archive/code/scratch/sample-sizes.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/simulated-table-a-attrition-preview.tex","archive/code/scratch/simulated-table-a-attrition-preview.tex","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/stan-hmc-diagnostics.R","archive/code/scratch/stan-hmc-diagnostics.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/vstar-distribution-investigations.R","archive/code/scratch/vstar-distribution-investigations.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"slurm_array.sh","archive/code/root-shell/slurm_array.sh","root-shell","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"slurm_indiv_rerun.sh","archive/code/root-shell/slurm_indiv_rerun.sh","root-shell","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"slurm_postprocess.sh","archive/code/root-shell/slurm_postprocess.sh","root-shell","Historical root entrypoint outside the supported production workflow.","scripts/structural/ and scripts/structural/render-paper.R","9f05899","2026-08-20"
"slurm_run_optim.sh","archive/code/policy-v1/slurm_run_optim.sh","policy-v1","Legacy dense policy workflow; current workflow is scripts/policy/.","","9f05899","2026-08-20"
"sync-overleaf.sh","archive/code/root-shell/sync-overleaf.sh","root-shell","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"takeup_sim_slurm.sh","archive/code/root-shell/takeup_sim_slurm.sh","root-shell","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"takeup_struct_slurm.sh","archive/code/root-shell/takeup_struct_slurm.sh","root-shell","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"test_simul_dist_struct.R","archive/code/root-r/test_simul_dist_struct.R","root-r","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"tidy_posterior_draws.R","archive/code/root-r/tidy_posterior_draws.R","root-r","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
