"artifact","workflow_owner","default_contract","source_path","deposit_path","sha256","full_make_target","provenance_note"
"tables/optim-summ-robust-table.tex","optimal_policy","frozen","presentations/tables/optim-summ-robust-table.tex","replication/paper-artifacts/tables/optim-summ-robust-table.tex","0b7e11c634640cd2e7e5693e71fe8ecaecc06a2c192e2e7893168c16a30163c6","optimal-policy policy-tables","Frozen current paper-approved artifact."
"appendix-files/analytical-delta.tex","manual_or_static","frozen","analytical-delta.tex","replication/paper-artifacts/appendix-files/analytical-delta.tex","4df02bc1f6d8ce34ea00db81cd3d5e13a9b0068acf2cbe0a0f017a7710a469ca","paper-assets","Frozen current paper-approved artifact."
"figures/delta-with-u-example-1.pdf","structural_postprocess","frozen","./presentations/takeup-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP_FOB95-fig/delta-with-u-example-1.pdf","replication/paper-artifacts/figures/delta-with-u-example-1.pdf","cf312c226ec299624acdcd280c019e2a118aea50324479c7e3537d6d6bb75347","structural-postprocess","Frozen current paper-approved artifact."
"figures/delta-with-u-mu-change-example-1.pdf","structural_postprocess","frozen","./presentations/takeup-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP_FOB95-fig/delta-with-u-mu-change-example-1.pdf","replication/paper-artifacts/figures/delta-with-u-mu-change-example-1.pdf","3fc5091992627e04549e6dd869bbdeeb3f1a0f71cae98abc631be47780a64a5c","structural-postprocess","Frozen current paper-approved artifact."
"figures/sm-decomp-annotated-1.pdf","structural_postprocess","frozen","./presentations/takeup-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP_FOB95-fig/sm-decomp-annotated-1.pdf","replication/paper-artifacts/figures/sm-decomp-annotated-1.pdf","97f961d120b12c0fdb3ad5abbc063073eda022e3d2909c869798bf6618e6fda2","structural-postprocess","Frozen current paper-approved artifact."
"figures/plot-scaled-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP-agg-identity-full-many-pots-pred-demand-vstar-comp-all.pdf","optimal_policy","frozen","./optim/plots/STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP/agg-full-many-pots/plot-scaled-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP-agg-identity-full-many-pots-pred-demand-vstar-comp-all.pdf","replication/paper-artifacts/figures/plot-scaled-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP-agg-identity-full-many-pots-pred-demand-vstar-comp-all.pdf","043d0e051226580be3d72556c33f18c691ebe12b8d67ad94a7d03cc1deaaac4e","optimal-policy policy-tables","Frozen current paper-approved artifact."
"misc-figures/comp-dist-plot3-fit86-util-identity-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP.pdf","optimal_policy","frozen","./replication/paper-artifacts/misc-figures/comp-dist-plot3-fit86-util-identity-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP.pdf","replication/paper-artifacts/misc-figures/comp-dist-plot3-fit86-util-identity-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP.pdf","f8c7ae083bbd515a39c7928be1af0edca98632ebc0b4920bac6521b20068b288","optimal-policy policy-tables","Recovered from the presentation repository."
"figures/reported-social-perception-1.pdf","structural_postprocess","frozen","./presentations/takeup-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP_FOB95-fig/reported-social-perception-1.pdf","replication/paper-artifacts/figures/reported-social-perception-1.pdf","8dac3a82a4efbeda10764d0109b62bc0141ec305be823fc1212c2a276e859c91","structural-postprocess","Frozen current paper-approved artifact."
"figures/dist-plot-1.pdf","structural_postprocess","frozen","./presentations/takeup-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP_FOB95-fig/dist-plot-1.pdf","replication/paper-artifacts/figures/dist-plot-1.pdf","953929e039815fc84f2a66c5f1ea0d08b477811c409ae4a616f76ac8c3460767","structural-postprocess","Frozen current paper-approved artifact."
"misc-figures/all-clusters-map-1.pdf","design_simulation","frozen","./replication/paper-artifacts/misc-figures/all-clusters-map-1.pdf","replication/paper-artifacts/misc-figures/all-clusters-map-1.pdf","b7d12a0ecf490f0df7fbbdba404081de32ec7551c49b51c696990266e348ac5c","design-paper-full","Recovered from the presentation repository."
"misc-figures/signal_bracelet.png","versioned_source_asset","static","./images/signal_bracelet.png","","","paper-assets","Version-controlled source asset."
"misc-figures/calendar.png","versioned_source_asset","static","./images/calendar.png","","","paper-assets","Version-controlled source asset."
"sensitization.png","versioned_source_asset","static","./images/sensitization.png","","","paper-assets","Version-controlled source asset."
"misc-figures/flyer_bracelet.png","versioned_source_asset","static","./images/flyer_bracelet.png","","","paper-assets","Version-controlled source asset."
"misc-figures/flyer_calendar.png","versioned_source_asset","static","./images/flyer_calendar.png","","","paper-assets","Version-controlled source asset."
"misc-figures/flyer_ink.png","versioned_source_asset","static","./images/flyer_ink.png","","","paper-assets","Version-controlled source asset."
"misc-figures/flyer_control.png","versioned_source_asset","static","./images/flyer_control.png","","","paper-assets","Version-controlled source asset."
"figures/gpt-reason-plot-1.pdf","manual_or_static","frozen","./presentations/takeup-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP_FOB95-fig/gpt-reason-plot-1.pdf","replication/paper-artifacts/figures/gpt-reason-plot-1.pdf","4e3493b2fc232c24f21d1bac5a3445bbd391d94841ae5652f00dba4444067fc3","paper-assets","Frozen current paper-approved artifact."
"misc-figures/takeup-np-rf-fit.pdf","reduced_form","generated","./presentations/takeup-np-rf-fit.pdf","","","reduced-form","Regenerated in the isolated Make/targets build."
"figures/sms-TE-by-dist-incentive.pdf","reduced_form","frozen","./replication/paper-artifacts/figures/sms-TE-by-dist-incentive.pdf","replication/paper-artifacts/figures/sms-TE-by-dist-incentive.pdf","24d589eee4196e8186966a39458375a691769eb4860216e8d2b4185264028429","auxiliary-paper","Frozen current paper-approved artifact."
"misc-figures/dydc-derivative-positive-check.pdf","reduced_form","frozen","./replication/paper-artifacts/misc-figures/dydc-derivative-positive-check.pdf","replication/paper-artifacts/misc-figures/dydc-derivative-positive-check.pdf","4915c75407f318c711334f4feab897dc8962ccedfffd21d9304cb7efe60a782b","auxiliary-paper","Frozen current paper-approved artifact."
"figures/sm-decomp-1.pdf","structural_postprocess","frozen","./presentations/takeup-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP_FOB95-fig/sm-decomp-1.pdf","replication/paper-artifacts/figures/sm-decomp-1.pdf","42ec98d299bd0756957a59f4f927b86d6a2c515f3a457815495a3cd4b9977efd","structural-postprocess","Frozen current paper-approved artifact."
"optim-figures/panel-scenarios-compare-optimal-allocation-plot-distconstraint-3500.pdf","optimal_policy","frozen","./presentations/optim-figures/fit105/panel-scenarios-compare-optimal-allocation-plot-distconstraint-3500.pdf","replication/paper-artifacts/optim-figures/panel-scenarios-compare-optimal-allocation-plot-distconstraint-3500.pdf","6de073002868396d37d2c4a7f67dea5436e88cada68cb469e63b81d54a584279","optimal-policy policy-tables","Frozen current paper-approved artifact."
"misc-figures/ramsey-control-lambda-0-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP-private-incentive-only.pdf","optimal_policy","frozen","./replication/paper-artifacts/misc-figures/ramsey-control-lambda-0-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP-private-incentive-only.pdf","replication/paper-artifacts/misc-figures/ramsey-control-lambda-0-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP-private-incentive-only.pdf","8b345faac2d8c3423090afc00a0f54ce70ee50273814d15a741d4b5f1aa7d7e0","optimal-policy policy-tables","Frozen current paper-approved artifact."
"misc-figures/counterfactual-assignment-density-close-far-dens.pdf","design_simulation","frozen","./replication/paper-artifacts/misc-figures/counterfactual-assignment-density-close-far-dens.pdf","replication/paper-artifacts/misc-figures/counterfactual-assignment-density-close-far-dens.pdf","d837fc644e280485a1642f246967af264674c257b6511feb54caeeb6657383b5","design-paper-full","Frozen current paper-approved artifact."
"figures/dist-ri-plot.pdf","reduced_form","frozen","./replication/paper-artifacts/figures/dist-ri-plot.pdf","replication/paper-artifacts/figures/dist-ri-plot.pdf","75d445b1ab30fc4b39e9e0abbf4eba4bedf803226d91afd3a2ea3a336844cd50","auxiliary-paper","Frozen current paper-approved artifact."
"misc-figures/w-distributions-robustness/gauss-mix-pdf.pdf","structural_postprocess","frozen","./replication/paper-artifacts/misc-figures/w-distributions-robustness/gauss-mix-pdf.pdf","replication/paper-artifacts/misc-figures/w-distributions-robustness/gauss-mix-pdf.pdf","f2b788f3a436df67b490db9eb0b32b25d31653694789e75832ec58c0fe810d68","structural-postprocess","Frozen current paper-approved artifact."
"misc-figures/w-distributions-robustness/b-changes.pdf","structural_postprocess","frozen","./replication/paper-artifacts/misc-figures/w-distributions-robustness/b-changes.pdf","replication/paper-artifacts/misc-figures/w-distributions-robustness/b-changes.pdf","abd137e3a6889f266736868a78090017bd3d078b8e9ba2ae7359580ba9fa4688","structural-postprocess","Frozen current paper-approved artifact."
"misc-figures/w-distributions-robustness/Delta-vstar-mix-pdf.pdf","structural_postprocess","frozen","./replication/paper-artifacts/misc-figures/w-distributions-robustness/Delta-vstar-mix-pdf.pdf","replication/paper-artifacts/misc-figures/w-distributions-robustness/Delta-vstar-mix-pdf.pdf","c1d51865cf1947ed63556bdd5af56c526b110e68a2d7c300efc9a52969f61459","structural-postprocess","Frozen current paper-approved artifact."
"misc-figures/w-distributions-robustness/social-multiplier-b.pdf","structural_postprocess","frozen","./replication/paper-artifacts/misc-figures/w-distributions-robustness/social-multiplier-b.pdf","replication/paper-artifacts/misc-figures/w-distributions-robustness/social-multiplier-b.pdf","531ddbbfc4518c822f15b48930fd47d382113cd6388c166fe61a9f528ffc9190","structural-postprocess","Frozen current paper-approved artifact."
